Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.8496739966792208,0.8470804093853933,0.8496739966792208,0.8426910325575114
Extra Trees,0.807334062284858,0.8290638346091426,0.807334062284858,0.8103986079634576
Random Forest,0.8061393917304499,0.826568220919021,0.8061393917304499,0.8076939070867727
